# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#         Re(W)    Im(W)       Im(tau)
	-0.4426846807594218   0.2963407463348174	0.5
	-0.2336193037498517   0.3408394390856706	0.6
	-0.07824753784395585   0.3521895090522078	0.7
	0.04306885056877563   0.3403358259774457	0.8
	0.1389915093300612   0.3144137673498319		0.9
	0.2148188021250851   0.2814194822864879		1
	0.3215704806173891   0.2117060681075333		1.2
	0.4103690731669164   0.1261093858712006		1.5
	0.470286825993683   0.04774348716830979		2
	0.4964542249825958   0.006084068004601971	3
	0.4995651403699261   0.0007523268081494327	4
	0.4999464764553904   0.00009269226921989825	5


