#
#  The value of x2, for x1 = omega2, which gives the
#  value of the superpotential in the confining vacuum
#  which is real
#
#       tau             x2
	0.5		0.6150889708858954
	0.6		0.7372427633579167
	0.7		0.8584002135389502
	0.8		0.9782561220069695
	0.9		1.096622413513696
	1.0		1.2134249493624336
	1.1		1.328681287396427
	1.2		1.4424733159404692 
	1.3		1.5549224697951756
       	1.4             1.6661700171008675
        1.5             1.7763629953984352
        1.6             1.8856443742195512
	1.7		1.9941469437125936
	1.8		2.101991172503355
	1.9		2.2092829190210233 	
        2               2.3161139584005377
	2.5		2.8457171236989276
        3               3.371482820901471
	3.5		3.895831544754968
        4               4.419634252548892

