#
#
# varied coef (1/2 originally)   re and im of one particular solution
#
0.005	0.1207076825934714814209690932554198148424  1.879263997938960690833219088643458162425
0.01	0.1436538574790921777371242213457270969905 1.856246165858158824737887994528844532551
0.02	0.1710489525220476555829434908903099394971 1.828608995507132360222437343885338607600
0.03	0.1894851734695814353581303573599380406900 1.809815460381829862035069882751961940016
0.05	0.2155818656443545788248870272817571824493 1.782700649385936266869901607421810104037
0.10	0.2563831492563264061120830809770222064158 1.737887541217168029563377315999134904491
0.20	0.3018031745878713323133035637602805750264 1.680400438264078363538630966992314605782
0.30	3.281947469904454e-01   1.640088314272288e+00
0.40	3.458069379286578e-01   1.609074633453670e+00
0.50	3.586435464613796e-01   1.584121561777467e+00
0.55	.3639096620645148106541877059280084198578 1.573314511922750401799891553008652186378
0.60	3.686119453812208e-01   1.563399193975554e+00
0.65	.3728550296652721768730201782052299573948 1.554250410233758325190971234842773200935
0.70	3.767184262321685e-01   1.545766365065054e+00
0.75	.3802636022306533020462330897692052251145 1.537863408012845204088463385434072062748
0.80	3.835388266704779e-01   1.530472124015611e+00
0.85	.3865825504666333906064473828690265304661 1.523534387200384097667714850738458295071
0.90	3.894258056078102e-01   1.517001115038150e+00
0.95	.3920939363502836910193375552898384787922 1.510830538061037505320157782420871506779
1.00	0.3946078678071179410629601324785804679374 1.504986853359923547411352178548485140399
1.10	.3992401634387225336725392120012643544888 1.494160654064094098367713218920302296366
1.20	.4034322266116794927692298512668481578644 1.484320311461304735438362111248470263846

